autonomous;name;geographical_units;short_description;url
ID-KB;Kalimantan Barat;KA;"Kalimantan Barat dijuluki Provinsi Seribu Sungai"". Itu dikarenakan mempunyai ratusan sungai besar dan kecil yang sering dilayari. Beberapa sungai besar sampai saat ini masih merupakan urat nadi dan jalur utama untuk angkutan daerah pedalaman. Sungai-sungai itu pun menyilangi kota dimana salah satunya yaitu sungai terpanjang di Indonesia. Sungai Kapuas dengan panjang 1.143 km telah membagi kota menjadi dua dan menyediakan jalur transportasi penting dan bersejarah. Kalimantan Barat juga menjadi wilayah yang dilewati langsung oleh garis khatulistiwa";http://www.indonesia.travel/destinations/destination/38/kalimantan-barat
ID-KS;Kalimantan Selatan;KA;Provinsi Kalimantan Selatan yang beribu kota di Banjarmasin terletak di sebelah selatan pulau Kalimantan. Sebelah barat berbatasan dengan propinsi Kalimantan Tengah, sebelah timur dengan Selat Makasar, sebelah selatan dengan Laut Jawa dan di sebelah utara berbatasan dengan propinsi Kalimantan Timur.;http://www.indonesia.travel/destinations/destination/41/kalimantan-selatan
ID-KT;Kalimantan Tengah;KA;Kalimantan Tengah merupakan provinsi terbesar di Pulau Kalimantan, luasnya sekitar 253.800 km dimana sebagian besar wilayahnya adalah hutan. Bagian utara adalah pegunungan yang sulit dijangkau, bagian tengahnya merupakan hutan tropis yang lebat. sedangkan wilayah selatan adalah rawa dengan banyak sungai. Iklim di Kalimantan panas dan lembab;http://www.indonesia.travel/destinations/destination/39/kalimantan-tengah
ID-KU;Kalimantan Utara;KA;Kalimantan Utara merupakan pemekaran provinsi baru dari Kalimantan Timur. Provinsi Kalimantan Utara secara resmi berdiri pada 25 Oktober 2012 dengan ibukota di Tanjung Selor. Secara otomatis Kalimantan Utara menjadi provinsi yang ke-34 sekaligus yang termuda di Indonesia saat ini. Posisi Kalimantan Utara terletak di utara Pulau Kalimantan, berbatasan langsung dengan Sabah dan Serawak, Malaysia.;http://www.indonesia.travel/destinations/destination/517/kalimantan-utara
ID-KI;Kalimantan Timur;KA;Sebagai produsen utama minyak dan kayu, Kalimantan Timur saat ini merupakan provinsi yang industrinya paling maju di Indonesia. Minyak, pertambangan, dan kayu membawa kesejahteraan bagi provinsi ini. ;http://www.indonesia.travel/destinations/destination/40/kalimantan-timur
ID-KR;Kepulauan Riau;SM;Kepulauan Riau yang beribu kota di Tanjung Pinang diberkahi dengan objek pariwisata yang berlimpah, pantainya sangati ndah dan kebudayaannya yang menarik. Laut merupakan tempat yang sangat esensial di kepulauan ini karena merupakan tempat bagi nelayan untuk mencari ikan dan berdagang. Pinisi kapal layar yang terbuat dari kayumasih berlayar di kepulauan ini bersama dengan perahu nelayan dan kapal pengangkut barang.;http://www.indonesia.travel/destinations/destination/22/kepulauan-riau
ID-LA;Lampung;SM;Provinsi Lampung secara umum wilayahnya datar dengan gunung-gunung tinggi seperti Gunung Pesagi, Tanggamas, Seminiung, Sekincau dan Raya yang merupakan gunung berapi tidak aktif. Bandar Lampung, ibu kota Lampung, dulunya merupakan dua kota yang terpisah yaitu Tanjungkarang dan Pelabuhan Teluk Betung yang tertutup oleh debu gunung berapi setelah Gunung Krakatau meletus.;http://www.indonesia.travel/destinations/destination/28/lampung
ID-MA;Maluku;ML;Maluku memiliki taman bawah laut yang sangat indah, pantai tropis menawan, dan pegunungan vulkanik yang dikelilingi hutan. Pulau ini merupakan pulau rempah-rempahyang terkenal dan telah menarik banyak pedagang dari India, Cina, Arab, dan Eropa untuk mencari cengkeh dan pala. Tahun 1511, bangsa Portugis membangun benteng pertama mereka di pulau Ternate, dan berhasil memonopoli perdagangan cengkeh.;http://www.indonesia.travel/destinations/destination/49/maluku
ID-MU;Maluku Utara;ML;Inilah tempat wisata bahari, budaya, purbakala, sejarah, dan ada istiadat. Daerah ini pada mulanya adalah bekas wilayah empat kerajaan Islam terbesar di bagian timur Nusantara yang dikenal dengan sebutan Kesultanan Moloku Kie Raha (Kesultanan Empat Gunung di Maluku) yaitu Bacan, Jailolo, Ternate, dan Tidore.;http://www.indonesia.travel/destinations/destination/48/maluku-utara
ID-NB;Nusa Tenggara Barat;NU;Alfred Russell Wallace pada abad ke-19 menandai wilayah transisi flora fauna yang ada di Barat dan Timur Indonesia dengan nama Garis Wallace. Garis ini berperan sebagai batas Barat Nusa Tenggara Barat yang meliputi Pulau Lombok dan Sumbawa.;http://www.indonesia.travel/destinations/destination/36/nusa-tenggara-barat
ID-NT;Nusa Tenggara Timur;NU;Sejenak lupakan dulu kehidupan dan peradaban modern di Jakarta atau berbelanja di Bandung. Mulailah berpetualang di alam terbuka yang menakjubkan di NTT, karena keindahan alamnya sungguh luar biasa, keunikan budaya, kenikmatan kulinernya, keramahtamahan masyarakatnya, serta biota laut yang indah dan makhluk purba langka.;http://www.indonesia.travel/destinations/destination/37/nusa-tenggara-timur
ID-PA;Papua;IJ;Papua, inilah tanah indah yang luas, memiliki hutan-hutan sangat alami dan puncak gunung bersalju menjulang tinggi di danau glasial. Papua merupakan provinsi terbesar dan paling timur di Indonesia, mencakup bagian barat pulau terbesar kedua di dunia.;http://www.indonesia.travel/destinations/destination/50/papua
ID-PB;Papua Barat;IJ;Inilah tempat tepat untuk Anda menikmati keindahan alam dan bawah air yang dikenal sebagai surga bawah laut. Memiliki warisan budaya yang menarik, pemandangan situs lukisan kuno di tebing karang, atau melihat atraksi langka mamalia raksasa di sekitar perairan.;http://www.indonesia.travel/destinations/destination/51/papua-barat
ID-RI;Riau;SM;Riau berada di bagian Timur Pulau Sumatra dan merupakan rumah bagi bangsa Melayu. Karya sastra Melayu pertama yaitu Bustanul Katibin ditulis oleh Raja Ali Haji (1850-1851 M) dan diterbitkan di Riau tahun 1857. Buku ini merupakan kitab kompilasi juru tulis bagi kanak-kanak yang mendeskripsikan tata cara penulisan bahasa Melayu dengan ejaan Arab-Melayu (Jawi).;http://www.indonesia.travel/destinations/destination/21/riau
ID-SR;Sulawesi Barat;SL;Provinsi Sulawesi Barat merupakan pemekaran dari Provinsi Sulawesi Selatan, kini telah menjadi Provinsi ke-33 yang diresmikan sejak 5 Oktober 2004. Secara geografis, provinsi ini terletak di posisi silang dari Segitiga emas Sulawesi Selatan, Kalimantan Timur dan Sulawesi Tengah, serta langsung menghadap rute berlayar nasional dan internasional selat Makassar.;http://www.indonesia.travel/destinations/destination/46/sulawesi-barat
ID-SN;Sulawesi Selatan;SL;Kapal layar Spanyol dan Portugis serta para pedagang Inggris dan Belanda mengarungi lautan Sulawesi Selatan untuk menguasai rempah-rempah. Mereka dikawal prajurit perang untuk bertahan dari serangan bajak laut Bugis dan Makasar. Keduanya terkenal sebagai pelaut ulung dan bermata pencaharian di laut.;http://www.indonesia.travel/destinations/destination/45/sulawesi-selatan
ID-ST;Sulawesi Tengah;SL;Provinsi ini memiliki banyak hal untuk di tawarkan. Wilayah ini memiliki potensi wisata yang beragam, baik wisata alam, wisata bahari, agrowisata, maupun wisata budaya.;http://www.indonesia.travel/destinations/destination/44/sulawesi-tengah
ID-SG;Sulawesi Tenggara;SL;Semenanjung Tenggara dan kepulauan Buton dihuni oleh keturunan Toraja dengan pengaruh kuat dari Kerajaan Islam Bone. Sebagian besar orang di Sulawesi ini adalah Muslim. Sebagian besar wilayah daratan Sulawesi Tenggara ditutupi oleh hutan alami, dengan luas perkebunan jati dan kayu ulin, yang digunakan untuk kerajinan lokal dan memberikan kontribusi bagi perekonomian lokal;http://www.indonesia.travel/destinations/destination/47/sulawesi-tenggara
ID-SA;Sulawesi Utara;SL;Tempat ini sudah ada sejak lama. Lokasinya yang strategis telah diaskses ke dunia luar sejak dulu. Kelompok Pulau Sangir Talaud telah menjadi menciptakan jembatan ke negara tetangga Filipina. Oleh karena itu, budaya penduduknya di tempat ini dan Filipina sedikitnya sama. Awalnya kedua wilayah ini dipengaruhi keras oleh kekuasaan Belanda. Masih banyak orang tua yang masih bisa berbahasa Belanda.;http://www.indonesia.travel/destinations/destination/42/sulawesi-utara
ID-SB;Sumatera Barat;SM;Sumatera Barat berada di bagian barat tengah pulau Sumatera, memiliki dataran rendah di pantai barat, serta dataran tinggi vulkanik yang dibentuk oleh Bukit Barisan yang membentang dari barat laut ke tenggara. Garis pantai provinsi ini seluruhnya bersentuhan dengan Samudera Hindia sepanjang 375 km. Kepulauan Mentawai yang terletak di Samudera Hindia dan beberapa puluh kilometer lepas pantai Sumatera Barat termasuk dalam provinsi ;http://www.indonesia.travel/destinations/destination/23/sumatera-barat
ID-SS;Sumatera Selatan;SM;Lebih dari seribu tahun yang lalu telah berkembang salah satu kerajaan terbesar sepanjang sejarah Indonesia yaitu Kerajaan Budha Sriwijaya yang berada di sepanjang tepi Sungai Musi Sumatra Selatan. Terletak di sebelah Selatan dibingkai oleh Laut Cina Selatan dan berada di jalur lalu lintas tersibuk di dunia yang menghubungkan Timur Jauh dengan Eropa. ;http://www.indonesia.travel/destinations/destination/24/sumatera-selatan
ID-SU;Sumatera Utara;SM;Inilah tempat yang menampilkan kebudayaan yang berbeda dan kaleidescope menarik kehidupan masyarakat Indonesia. Sumatera Utara memiliki keajaiban yang bisa mewujudkan dambaan wisata Anda. Keindahan alam Sumatera Utara sangat menakjubkan terbentang dari Danau Toba yang indah, danau terbesar di Asia Tenggara, sampai ke sebuah hutan di Bukit Lawang yang dihuni oleh sekelompok orangutan.;http://www.indonesia.travel/destinations/destination/20/sumatera-utara
ID-JK;Jakarta Raya;JW;Jakarta adalah Ibu kota Republik Indonesia. Kota metropolitan yang luas dan besar dengan populasi lebih dari 9 juta jiwa. Jakarta merupakan pusat pemerintahan nasional sekaligus pemerintahan provinsi DKI Jakarta. Jakarta menjadi pusat pemerintahan yang mengatur keuangan dan bisnis.;http://www.indonesia.travel/destinations/destination/30/dki-jakarta
ID-YO;Yogyakarta;JW;Yogyakarta atau kadang di ditulis Jogjakarta telah dikenal dengan julukan Keindahan Asia yang Tiada Akhir. Banyak yang mengatakan bahwa hanya sekali mengunjugi Yogyakarta tidaklah cukup.;http://www.indonesia.travel/destinations/destination/33/di-yogyakarta
